Question,Answer,Explanation,Citation
RCT:t ovat aina parempia kuin havainnoivat tutkimukset syy-seuraussuhteiden arvioinnissa riippumatta tutkimuskysymyksestä. Chan et al. (2023),EPÄTOSI,"Vaikka RCT:t ovat kultainen standardi, niitä ei aina voida toteuttaa esimerkiksi eettisistä tai logistisista syistä riippuvuustutkimuksessa. (""RCTs are often not feasible for some fields or research questions, such as addiction epidemiology and policy evaluation, due to ethical... considerations."")","""RCTs are often not feasible for some fields or research questions, such as addiction epidemiology and policy evaluation, due to ethical, logistical, or practical considerations."""
"Potentiaalisten tulosten viitekehys perustuu ajatukseen, että yksilöllä on kaksi mahdollista lopputulosta: yksi altistuneena ja toinen ilman altistusta. Chan et al. (2023)",TOSI,"Rubinin kausaalimalli määrittelee kausaalivaikutuksen yksilöllä kahden potentiaalisen lopputuloksen erotuksena: altistuneena (Y1) ja ei-altistuneena (Y0). (""the outcome that would have been observed if the individual were exposed to treatment... and the outcome that would have been observed if the individual were not exposed"")","""the outcome that would have been observed if the individual were exposed to treatment... and the outcome that would have been observed if the individual were not exposed"""
Propensiteettipistematchingin avulla voidaan arvioida koko väestöön kohdistuva kausaalivaikutus (ATE). Chan et al. (2023),EPÄTOSI,"Yksinkertainen yksi-yhteen matching menetelmä tähtää keskimääräisen vaikutuksen arviointiin niille, jotka saivat hoidon (ATT). (""One-to-one matching is commonly used to estimate ATT."")","""One-to-one matching is commonly used to estimate ATT (average treatment effect on the treated)."""
Inverse probability treatment weighting -menetelmä käyttää propensiteettipisteitä luodakseen tasapainoisen pseudo-populaation. Chan et al. (2023),TOSI,"IPTW luo painotetun aineiston, jossa hoito- ja kontrolliryhmät ovat tasapainossa â€“ ns. pseudo-populaation. (""Weighted data can be thought of as a pseudo-population in which the only difference between groups is in whether they received treatment."")","""Weighted data can be thought of as a pseudo-population in which the only difference between groups is in whether they received treatment."""
Instrumenttimuuttujan tulee vaikuttaa suoraan sekä altistukseen että lopputulokseen. Chan et al. (2023),EPÄTOSI,"Instrumenttimuuttujan tulee vaikuttaa ainoastaan altistukseen eikä suoraan lopputulokseen. (""An instrumental variable is one that has (i) a direct causal impact on the exposure, (ii) no direct causal impact on the outcome"")","""An instrumental variable is one that has (i) a direct causal impact on the exposure, (ii) no direct causal impact on the outcome"""
"Instrumenttimuuttuja-analyysi voi tuottaa harhaisia tuloksia, jos instrumentti vaikuttaa suoraan lopputulokseen. Chan et al. (2023)",TOSI,Tämä rikkoo instrumentin riippumattomuusoletuksen ja johtaa harhaan meneviin kausaalipäätelmiin.,"""An instrumental variable is one that has ... (ii) no direct causal impact on the outcome"""
"Propensiteettipisteet voivat estimoida kausaalivaikutuksia tilanteissa, joissa satunnaistaminen ei ole mahdollista. Chan et al. (2023)",TOSI,Propensiteettipisteet auttavat tasapainottamaan havaintoryhmien välistä eroa epälineaarisissa ei-satunnaisissa asetelmissa.,"""Propensity scores are used to reduce bias in the estimation of treatment effects in observational studies..."""
Inverse probability weighting ei vaadi propensiteettipisteiden arviointia. Chan et al. (2023),EPÄTOSI,IPW perustuu propensiteettipisteiden käyttöön painojen laskemiseksi.,"""IPW uses the inverse of the propensity score as a weight for each individual..."""
"Potentiaalisten tulosten malli edellyttää, että jokaisella yksilöllä voi olla vain yksi mahdollinen lopputulos. Chan et al. (2023)",EPÄTOSI,"Mallin ydinidea on, että kullakin yksilöllä on kaksi potentiaalista lopputulosta: yksi altistuneena ja toinen ilman altistusta.","""each individual has two potential outcomes, one under treatment and one under control"""
Matching-menetelmä pyrkii vähentämään selektiivistä harhaa tasapainottamalla ryhmien havaittuja piirteitä. Chan et al. (2023),TOSI,Matching pyrkii luomaan vertailukelpoisia ryhmiä havaittujen muuttujien osalta.,"""Matching is used to ensure treated and untreated groups are similar in observed characteristics..."""
